0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
385	resident evil 2	were themselves upset, many were suffocated, many were crushed in fine, no evil that can possibly happen to men at such a crisis failed to befall them. #residentevil2
386	resident evil 2	While he was behaving in this way, evil omens occurred. #residentevil2
387	resident evil 2	Laetus consistently spoke well of Pertinax and abused Commodus relating all the latter's evil deeds. #residentevil2
388	resident evil 2	Still, they abused him in their own fashion and heaped insults upon him as much as they could, going over the list of his
388	resident evil 2	bloody deeds, with the name of each victim, and ranging him alongside all the evil tyrants that had ever held sway over them. #residentevil2
389	resident evil 2	And so it proved, for the evil did not confine itself to the City alone, but took possession of the whole world under its dominion, with whose inhabitants the theatre was customarily filled. #residentevil2
390	resident evil 2	And again lacuna So the others killed certain soldiers and ravaged portions of Mesopotamia, and these men butchered not a few
390	resident evil 2	of their own number and also overthrew their emperor; and, what is still worse, they set up another similar ruler, by whom nothing was done save what was evil and base. #residentevil2
391	resident evil 2	And he sent to Rome such a despatch as might have been expected, speaking much evil of Macrinus, especially with reference to his low birth and his plot against Antoninus. #residentevil2
392	resident evil 2	Accordingly, the members through their own evil state grew conscious that the Belly was the salvation of them and restored to it its nourishment. #residentevil2
393	resident evil 2	Altogether, he displayed neither dejection nor terror, but with an unbending spirit, as if no serious evil had befallen them, he both planned and executed all measures of immediate benefit. #residentevil2
394	World Cup	He conducted the procession in honor of all his wars at once, including in it many trophies beautifully arrayed to represent
394	World Cup	each of his deeds, even the smallest and after them all came one huge one, arrayed in costly fashion and bearing an inscription to the effect that it was a World Trophy. #WorldCup
395	Otago Daily Times Online News	News of the death of Otho was brought to him Vitellius while in Gaul. #OtagoDailyTimesOnlineNews
396	kingdom hearts	A battle took place, Turnus and Latinus fell, and Æneas gained the victory and his fatherinlaw's kingdom as well. #kingdomhearts
397	kingdom hearts	For at the death of Marcius he behaved in a knavish way to the latter's two sons and made the kingdom his own. #kingdomhearts
398	kingdom hearts	The senate and the people were intending to elect the children of Marcius, when Tarquinius made advances to the most
398	kingdom hearts	influential of the senators; he had first sent the fatherless boys to some distant point on a hunting expedition and by his
398	kingdom hearts	talk and his efforts he got these men to vote him the kingdom on the understanding that he would restore it to the children when they had attained manhood. #kingdomhearts
399	kingdom hearts	By the coöperation of Tanaquil, wife of Tarquinius, Tullius succeeded to the kingdom of Rome. #kingdomhearts
400	kingdom hearts	And by the use of many alluring statements he so disposed them toward himself that they at once voted the kingdom to him outright. #kingdomhearts
401	kingdom hearts	Now Tullius joined his daughters in marriage with the Tarquins, and though he announced that he was going to restore the kingdom to them he kept putting it off, now on one excuse and now on another. #kingdomhearts
